alias,autor_normalizado,confianza,origen,score,n_filas_base,n_articulos_base
"Perez-Gonzalez, J.",J Perez Gonzalez,alta,tutora_exacta,1.0,4,4
J Van Smirren,J Van Smirren,media,revision_manual_resuelta_web,,,
"Van Smirren, J.",J Van Smirren,media,revision_manual_resuelta_web,,,
J Sandoval Lira,Jacinto Sandoval Lira,alta,revision_manual_resuelta_web,,,
Jacinto Sandoval Lira,Jacinto Sandoval Lira,alta,revision_manual_resuelta_web,,,
"Sandoval-Lira, J.",Jacinto Sandoval Lira,alta,revision_manual_resuelta_web,,,
J. A. Moreno,Jaime A Moreno,media,tutora_probable,0.96,1,1
"Cerda, Jaime",Jaime Cerda,alta,nuevo_autor_normalizado,0.0,1,1
Jaime Cerda,Jaime Cerda,alta,nuevo_autor_normalizado_display,0.0,1,1
Jaime Urrutia Fucugauchi,Jaime Humberto Urrutia Fucugauchi,alta,tutora_probable_display,0.99,1,1
"Urrutia-Fucugauchi, Jaime",Jaime Humberto Urrutia Fucugauchi,alta,tutora_probable,0.99,1,1
Jaime Peña Antonio,Jaime Peña Antonio,alta,nuevo_autor_normalizado_display,0.0,2,2
"Peña-Antonio, Jaime",Jaime Peña Antonio,alta,nuevo_autor_normalizado,0.0,2,2
H Javier A Rodríguez,Javier Alejandro Rodríguez Herrejón,alta,revision_manual_resuelta_web,,,
"Javier A. Rodríguez, H.",Javier Alejandro Rodríguez Herrejón,alta,revision_manual_resuelta_web,,,
Javier Alejandro Rodríguez Herrejón,Javier Alejandro Rodríguez Herrejón,alta,revision_manual_resuelta_web,,,
"Gomez, J.",Javier Gomez,media,expandido_por_variante_interna,0.9,4,4
"Gomez, Javier",Javier Gomez,alta,nuevo_autor_normalizado,0.93,16,16
J. Gomez,Javier Gomez,media,expandido_por_variante_interna,0.9,5,5
Javier Gomez,Javier Gomez,alta,nuevo_autor_normalizado_display,0.93,16,16
